,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
125,커피방앗간,커피전문점,서울 종로구 북촌로5가길 8-11 (우)03053,매일 08:30 ~ 23:00,None,02-732-7656,#데이트코스 #로스팅전문 #한옥카페 #핸드드립전문점 #제로페이,"동물출입, 주차"
126,투썸플레이스 종로3가역점,투썸플레이스,서울 종로구 수표로 106 (우)03139,월~금 08:00 ~ 23:30,www.twosome.co.kr,02-742-1008,#카카오페이,주차
127,카페트레블,카페,서울 종로구 낙산3길 19-8 (우)03088,화~일 11:00 ~ 23:00,cafetravel.modoo.at,02-747-1056,#데이트코스 #루프탑있는 #카카오페이 #제로페이,none
128,삼청빙수,디저트카페,서울 종로구 삼청로 84-1 (우)03053,매일 12:00 ~ 19:30 (계절별 영업시간 상이),app.catchtable.co.kr/ct/shop/samcheongbingsu,02-720-8233,#한옥스타일 #한옥카페,주차
129,슬로스텝,커피전문점,서울 종로구 대학로8가길 89 3층 (우)03086,"월,화,수,목,금,일 11:00 ~ 22:00",None,02-762-2229,#대형카페 #데이트코스 #디저트카페 #루프탑있는 #분위기좋은 #플라워카페 #제로페이,none
130,오설록티하우스 북촌점,오설록 티하우스,서울 종로구 북촌로 45 (우)03055,월~목 11:00 ~ 20:00 (1&2층),www.osulloc.com,070-4121-2019,#카카오페이,주차
131,마당플라워카페,테마카페,서울 종로구 수표로28길 33-12 (우)03133,매일 09:00 ~ 23:00,www.instagram.com/madangflowercafe,02-743-0723,#데이트코스 #이색카페 #익선핫플패스 #플라워카페 #한옥카페,none
132,스타벅스 마로니에공원점,스타벅스,"서울 종로구 대학로 116 1,2층 (우)03086",월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
133,라디오엠 삼청점,카페,"서울 종로구 삼청로2길 37-2 1,2층 (우)03053",매일 11:00 ~ 22:00,www.facebook.com/radiom.co.kr,02-737-4669,#데이트코스 #베이커리카페 #카카오페이 #제로페이,none
134,빌리엔젤 셀렉트 광화문점,디저트카페,서울 종로구 새문안로 92 오피시아빌딩 1층 (우)03186,월~금 07:00 ~ 22:00,www.billyangel.co.kr,None,#대형카페 #디저트카페 #소개팅 #핸드드립전문점 #제로페이,"WIFI, 동물출입, 주차, 흡연실"
135,서울커피상회,카페,서울 종로구 우정국로2길 17 동강빌딩 3층 (우)03189,월~금 10:00 ~ 20:00,None,None,#감성카페 #핸드드립전문점 #카카오페이 #제로페이,주차
136,투썸플레이스 종각역점,투썸플레이스,서울 종로구 종로 72 2~5층 (우)03189,월~목 07:00 ~ 23:00,www.twosome.co.kr,02-722-2077,#혼밥 #카카오페이 #제로페이,주차
137,카페골목숲,커피전문점,"서울 종로구 삼청로 86-3 1, 2층 (우)03053","월,화,목,금,토,일 12:00 ~ 21:30",None,070-4250-1664,#데이트코스 #디저트카페 #루프탑있는 #분위기좋은 #수제디저트 #수제케이크 #제로페이,none
138,키미아트 키미카페,갤러리카페,"서울 종로구 평창30길 47 1, 2층 (우)03004",매일 10:30 ~ 22:00,www.instagram.com/kimicafe_2003,02-394-6441,#갤러리카페 #쉼 #평창동카페 #현대미술 #데이트코스 #테라스가있는 #핸드드립전문점,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방"
139,반짝반짝빛나는,전통찻집,서울 종로구 인사동길 28-1 2층 (우)03148,매일 10:00 ~ 23:00,None,02-738-4525,#데이트코스 #디저트카페 #떡카페,none
140,통의동단팥,카페,서울 종로구 자하문로 20-1 (우)03044,월~토 12:00 ~ 21:00,None,02-722-0044,#데이트코스 #제로페이,주차
141,TXT커피,카페,서울 종로구 창덕궁길 121 (우)03057,화~토 11:00 ~ 17:00,www.instagram.com/txtcoffee,070-7760-0121,#데이트코스 #로스팅전문 #핸드드립전문점,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
142,치즈인더스트리,카페,서울 종로구 수표로28길 33-7 1층 (우)03133,매일 10:00 ~ 22:00,instagram.com/cheeseindustry,None,#베이커리카페 #제로페이,"WIFI, 주차"
143,오설록 티하우스 현대미술관점,오설록 티하우스,서울 종로구 삼청로 30 (우)03062,"월,화,목,금,일 10:00 ~ 20:00",www.osulloc.com,02-739-9293,#락카페 #카카오페이,"WIFI, 동물출입, 휠체어사용, 놀이방"
144,수수커피 디타워점,카페,서울 종로구 종로3길 17 1층 128호 (우)03155,월~금 08:00 ~ 22:00,None,02-2251-8155,#핸드드립전문점,주차
145,미스터힐링 대학로점,테마카페,서울 종로구 대학로8가길 66 2층 (우)03086,화~일 12:00 ~ 22:00,misterhealing.com,02-766-1189,#데이트코스 #마사지카페 #안마의자카페 #이색카페 #힐링카페 #제로페이,none
146,스타벅스 삼청동점,스타벅스,서울 종로구 삼청로 111-1 1층 (우)03049,월~금 07:30 ~ 18:00,www.starbucks.co.kr,1522-3232,#테라스가있는 #카카오페이,주차
147,스타벅스 동묘앞역점,스타벅스,"서울 종로구 종로 344 대우디오빌 101,201호 (우)03114",월~토 07:00 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
148,커브드커피,카페,서울 종로구 종로 118 (우)03192,월~금 09:00 ~ 23:30,None,None,#디저트카페,none
149,프루티에,디저트카페,서울 종로구 홍지문2길 2 1층 (우)03015,수~금 11:00 ~ 20:00,instagram.com/fruitier_jh,02-395-2277,#디저트카페 #케이크주문제작 #제로페이,"WIFI, 주차"
150,할리스 세종로점,할리스,"서울 종로구 세종대로 161 2,3층 (우)03183",매일 08:00 ~ 23:00,www.hollys.co.kr,02-720-5582,#24시간카페 #카카오페이,none
151,학림커피,카페,서울 종로구 대학로9길 23 (우)03079,월~금 11:00 ~ 21:00,None,None,#로스팅전문 #핸드드립전문점 #제로페이,none
152,스타벅스 주얼리시티점,스타벅스,서울 종로구 종로 183 주얼리시티 1층 (우)03130,월~목 07:00 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
153,경인미술관 전통다원,전통찻집,서울 종로구 인사동10길 11-4 (우)03146,None,www.kyunginart.co.kr/kor/blue/sub01.asp,02-733-4448,#낭만적인 #앤틱한 #전통한옥,none
154,스타벅스 종로관수점,스타벅스,서울 종로구 삼일대로20길 13 (우)03191,월~금 07:30 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
155,타이거타이거,카페,서울 종로구 삼일대로30길 56 1층 (우)03133,월~금 08:00 ~ 19:00,www.instagram.com/tigertiger_seoul,02-747-1986,#데이트코스 #루프탑있는 #보드게임카페 #분위기좋은 #식물카페 #제로페이,none
156,폴루이트,카페,서울 종로구 우정국로2길 41 3층 (우)03189,매일 12:00 ~ 23:00,www.foluite.com,02-730-5190,#핸드드립전문점,none
157,메르깟,카페,서울 종로구 세종대로 169 국호빌딩 4층 (우)03183,매일 11:00 ~ 23:00,app.catchtable.co.kr/ct/shop/mercat,02-732-5772,None,none
158,레종데트르,디저트카페,서울 종로구 자하문로7길 67-2 1층 (우)03036,화~일 12:00 ~ 21:00,instagram.com/raisondetre_dessert,010-3279-1541,#디저트카페 #이동약자접근 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
159,이음,카페,서울 종로구 창의문로 137 2동 3층 201호 (우)03022,2023년 7월 30일 ~ 2023년 12월 30일 휴무,www.teaimporter.kr,070-4138-0150,#기물 #대만우롱차 #대만차 #부암동카페 #싱글오리진 #데이트코스,WIFI
160,스타벅스 종로평창동점,스타벅스,서울 종로구 평창12길 3 (우)03009,매일 07:00 ~ 21:30,www.starbucks.co.kr,1522-3232,#카카오페이,주차
161,미스터힐링 종각역점,테마카페,서울 종로구 종로 62-1 삼목빌딩 4층 (우)03189,월~금 11:00 ~ 20:00,misterhealing.com,02-723-5599,#데이트코스 #마사지카페 #수면카페 #안마의자카페 #이색카페 #힐링카페 #제로페이,none
162,마농트로포,카페,서울 종로구 사직로9가길 10 1층 (우)03027,월~토 11:00 ~ 22:00,instagram.com/_manontroppo_,02-794-0011,#디저트카페 #분위기좋은 #프렌치디저트 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
163,감꽃당,디저트카페,서울 종로구 돈화문로11다길 38 (우)03133,월~토 09:00 ~ 22:30,None,None,#데이트코스 #베이커리카페 #한옥카페 #제로페이,주차
164,카페낙타,카페,서울 종로구 낙산5길 51 창신숭인 채석장전망대 2층 (우)03091,화~금 13:00 ~ 22:00,www.instagram.com/daily_camel_,None,#나들이 #이동약자접근 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
165,커피빈 대학로마로니에점,커피빈,"서울 종로구 대학로12길 62 지하1층, 1,2층 (우)03086",화~금 08:30 ~ 23:00,www.coffeebeankorea.com,02-742-3318,#분위기좋은 #카카오페이,"WIFI, 동물출입, 주차, 흡연실"
166,스타벅스 성대입구점,스타벅스,서울 종로구 창경궁로 235 (우)03073,매일 07:30 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
167,번트 서울,디저트카페,서울 종로구 청계천로 155 1~3층 (우)03193,매일 09:00 ~ 21:30,app.catchtable.co.kr/ct/shop/burntseoul,None,#대형카페 #빈티지분위기,none
168,카페이드라,카페,서울 종로구 윤보선길 18 1층 (우)03060,월~금 08:30 ~ 21:30,None,070-4155-1004,#핸드드립전문점 #제로페이,none
169,카페느티,북카페,서울 종로구 경희궁길 9 (우)03176,매일 10:00 ~ 21:00,None,None,#북카페 #분위기좋은 #제로페이,WIFI
170,스타벅스 정부서울청사R점,스타벅스,서울 종로구 새문안로5가길 28 광화문플래티넘 1층 (우)03170,매일 07:00 ~ 21:00,www.starbucks.co.kr,1522-3232,#핸드드립전문점 #카카오페이,"WIFI, 동물출입, 주차, 흡연실"
171,페이퍼마쉐,카페,서울 종로구 무교로 40 (우)03188,월~금 07:30 ~ 22:00,www.instagram.com/paper_mache40,02-733-5854,#감성카페 #노키즈존 #디저트카페 #분위기좋은,none
172,소꿉놀이,카페,서울 종로구 자하문로6길 14 지하 1층 (우)03044,매일 11:00 ~ 20:00,www.hidenseek.co.kr,02-6925-5916,#데이트코스 #이국적인 #제로페이,none
173,비트포비아 대학로점,테마카페,서울 종로구 대학로10길 12 5층 (우)03086,월~금 12:00 ~ 23:00,www.xphobia.net,02-742-5252,#데이트코스 #방탈출카페 #실내놀거리 #제로페이,none
174,투썸플레이스 종로알파빌딩점,투썸플레이스,서울 종로구 종로 34 알파빌딩 1층 (우)03188,월~금 07:00 ~ 23:00,www.twosome.co.kr,02-725-2388,#디저트카페 #이동약자접근 #카카오페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
175,투썸플레이스 종로5가역점,투썸플레이스,서울 종로구 종로 201-1 1층 (우)03130,월~금 08:00 ~ 22:00,www.twosome.co.kr,02-763-1644,#카카오페이 #제로페이,주차
176,카페마마스 광화문점,카페마마스,서울 종로구 종로1길 50 더케이트윈타워 A동 1층 (우)03142,None,cafemamas.co.kr,02-736-1250,#브런치카페,none
177,설빙 대학로점,설빙,"서울 종로구 대학로12길 21 1,2층 (우)03086",매일 11:30 ~ 23:50,www.sulbing.com,070-7721-5047,None,WIFI
178,도이창카페,카페,서울 종로구 창의문로11길 10 1층 (우)03022,월~금 11:00 ~ 17:00,None,02-391-1447,#핸드드립전문점,주차
179,스타벅스 북촌로점,스타벅스,서울 종로구 북촌로4길 23 1층~3층 (우)03056,월~금 07:00 ~ 19:00,www.starbucks.co.kr,1522-3232,#이동약자접근 #카카오페이,"주차, 휠체어사용"
180,스타벅스 독립문역점,스타벅스,서울 종로구 송월길 155 (우)03165,매일 07:30 ~ 22:00,www.starbucks.co.kr,1522-3232,None,주차
181,스타벅스 적선점,스타벅스,서울 종로구 새문안로5길 55 노스게이트빌딩 1층 (우)03170,월~금 07:00 ~ 22:00,www.starbucks.co.kr,1522-3232,#카카오페이,none
182,로우루프,카페,서울 종로구 북촌로 46-1 1층 (우)03056,화~일 10:00 ~ 20:00,instagram.com/cafe_lowroof,02-747-0709,#테라스가있는 #한옥카페 #카카오페이 #제로페이,none
183,스타벅스 대학로점,스타벅스,서울 종로구 대학로 57 홍익대학교 대학로캠퍼스 1층 (우)03082,화~금 07:00 ~ 21:30,www.starbucks.co.kr,1522-3232,#카카오페이,주차
184,라끌레,카페,서울 종로구 팔판길 42 지하 1층 (우)03054,매일 18:30 ~ 21:00,lacle.modoo.at,02-734-7752,#낭만적인 #데이트코스 #재즈카페 #제로페이,none
185,프리시즌,카페,서울 종로구 자하문로6길 9 (우)03044,매일 11:00 ~ 21:00,www.instagram.com/preseason_official,None,#데이트코스 #디저트카페 #루프탑있는 #서촌핫플패스 #제로페이,none
186,월영당 서울,커피전문점,"서울 종로구 북촌로5길 62 1,2층 (우)03053",매일 11:30 ~ 21:30,www.instagram.com/wolyeongdang,070-8866-8613,#북촌카페 #안동대마라떼 #월영구움과자 #월영당서울 #종로카페 #이동약자접근 #한옥카페 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
187,낫컴플리트,카페,"서울 종로구 성균관로 12-5 1,2층 (우)03074",월~토 12:00 ~ 21:00,www.instagram.com/notcmplt,02-747-3290,None,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
188,온그라운드 지상소,카페,서울 종로구 자하문로10길 23 1층 (우)03043,월~목 11:00 ~ 22:00,None,02-720-8260,#아이와체험,none
189,이엔갤러리,갤러리카페,서울 종로구 평창길 224 지하1층 (우)03004,화~일 12:00 ~ 18:00,www.engallery.kr,02-395-1133,#갤러리카페 #모던한 #분위기좋은 #전망좋은 #핸드드립전문점 #카카오페이 #제로페이,none
190,널담은공간 경복궁점,카페,서울 종로구 삼청로 24 1~3층 (우)03062,매일 10:00 ~ 21:30,www.instagram.com/nuldam_space,None,#비건카페 #이색카페,주차
191,전통찻집지대방,전통찻집,서울 종로구 인사동길 33 2층 (우)03149,매일 10:00 ~ 24:00,None,02-738-5379,#제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방"
192,커피기업 광화문점,카페,서울 종로구 삼봉로 71 신라스테이 1층 102호 (우)03150,월~금 07:00 ~ 21:00,www.tjcoffeecompany.co.kr,02-6281-3977,#카카오페이 #제로페이,주차
193,카페포엠 북촌점,커피전문점,"서울 종로구 북촌로5길 19-4 1, 2층 (우)03060",월~토 10:00 ~ 23:00,blog.naver.com/cafe4mgcc,02-722-0118,#제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
194,카페수달,카페,서울 종로구 율곡로 49-14 1층 (우)03060,매일 10:00 ~ 22:00,www.instagram.com/cafe_sudal,02-733-1043,#로스팅전문 #한옥스타일 #한옥카페,주차
195,커피빈 광화문점,커피빈,서울 종로구 종로 14 센트리얼빌딩 1층 (우)03187,월~금 07:00 ~ 23:00,www.coffeebeankorea.com,02-3210-2326,#카카오페이,"WIFI, 동물출입, 주차, 흡연실"
196,뮤직컴플렉스서울,카페,서울 종로구 인사동길 49 5층 (우)03145,월~금 12:00 ~ 24:00,www.instagram.com/music.complex.seoul,02-6954-2939,#LP바 #뮤직펍,none
197,교호커피,커피전문점,"서울 종로구 종로 217 1,2층 (우)03129",월~금 08:00 ~ 22:00,www.instagram.com/kyohocoffee,None,#제로페이,none
198,귀천,카페,서울 종로구 인사동14길 14 (우)03146,매일 11:00 ~ 22:00,None,02-3210-2288,#제로페이,none
199,티퍼런스 서울,갤러리카페,서울 종로구 돈화문로 61 (우)03133,매일 11:00 ~ 22:00,www.teafference.com,02-745-1501,#아이소이 #익선동루프탑 #익선동카페 #티퍼런스 #힐링카페 #갤러리카페 #대형카페 #루프탑있는,주차
200,차차티클럽 창신한옥,카페,서울 종로구 종로46가길 13 (우)03119,수~일 13:00 ~ 22:00,www.instagram.com/chacha_willbegood,070-4239-0713,#녹차 #다도 #밀크티 #보이차 #홍차 #분위기좋은 #소개팅 #이동약자접근 #이색카페 #전통한옥 #한옥카페,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
201,스타벅스 종로관철점,스타벅스,서울 종로구 종로12길 21 2층 (우)03190,월~목 08:00 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
202,궤도,카페,서울 종로구 필운대로 9-2 3층 (우)03027,월~금 12:00 ~ 21:00,www.instagram.com/gwehdo,02-332-3441,#핸드드립전문점,"WIFI, 동물출입, 주차"
203,미라보쇼콜라,커피전문점,서울 종로구 자하문로5길 6 1층 (우)03040,None,www.mirabeau.co.kr,02-720-8652,#데이트코스 #수제초콜릿 #제로페이,none
204,얼스어스 서촌점,카페,서울 종로구 자하문로28가길 1 (우)03047,월~목 12:00 ~ 19:00,instagram.com/earth__us,None,#서촌핫플패스 #일회용품없는가게,none
205,폴바셋 종각역점,폴바셋,서울 종로구 종로 47 1층 (우)03160,월~금 07:00 ~ 21:00 (5월20일 12:00 ~ 21:00),www.baristapaulbassett.co.kr,02-3446-8717,#로스팅전문 #카카오페이,none
206,커피빈 종로관철동점,커피빈,"서울 종로구 청계천로 83 지하1층, 1~3층 (우)03190",월~목 07:00 ~ 23:00,www.coffeebeankorea.com,02-738-5333,#카카오페이,"WIFI, 주차, 흡연실"
207,피앤티스퀘어,테마카페,서울 종로구 수표로 105 (우)03140,월~금 09:00 ~ 22:00,None,02-733-3264,#스터디카페,주차
208,라콜롬브,커피전문점,서울 종로구 대학로12길 83 (우)03086,화~금 11:00 ~ 21:00,None,02-518-9199,#대형카페 #데이트코스 #로스팅전문 #핸드드립전문점,WIFI
209,스타벅스 경복궁사거리점,스타벅스,서울 종로구 율곡로 6 트윈트리타워 B동 101호 (우)03142,월~금 07:30 ~ 20:00,www.starbucks.co.kr,1522-3232,#카카오페이,주차
210,라파리나,카페,서울 종로구 자하문로 44 (우)03043,매일 10:00 ~ 22:00,www.instagram.com/la_farina140,070-7749-2004,#맛집 #베이커리카페 #이탈리아레스토랑 #파스타 #화덕피자 #데이트코스 #소개팅 #캐주얼이탈리안 #코스요리,"WIFI, 주차"
211,카페혜화동,카페,서울 종로구 창경궁로26길 40 2층 (우)03079,매일 12:00 ~ 22:00,www.instagram.com/cafe_hyehwadong,02-6497-3347,#감성카페 #데이트코스 #분위기좋은 #제로페이,주차
212,꽃담 인사동본점,전통찻집,서울 종로구 인사동길 19-2 와담빌딩 2층 (우)03162,매일 11:00 ~ 22:00,None,02-730-4120,#제로페이,none
213,빌리엔젤 종각역점,디저트카페,서울 종로구 삼봉로 94 1층 (우)03158,월~금 07:30 ~ 22:30,www.billyangel.co.kr,02-2160-8488,#제로페이,none
214,커피빈 인사점,커피빈,서울 종로구 인사동4길 18 오라카이스위츠 1층 (우)03163,월~금 06:30 ~ 22:30,www.coffeebeankorea.com,02-783-2043,#카카오페이,none
215,천년동안도 낙원,라이브카페,서울 종로구 수표로 134 2층 201호 (우)03133,월~금 18:00 ~ 00:00,app.catchtable.co.kr/ct/shop/chunnyun.nakwon,02-743-5555,#멜론핫플리 #라이브바,none
216,데우스 카페 삼청점,카페,서울 종로구 삼청로 134 (우)03050,월~금 11:00 ~ 21:00,None,02-722-7767,#바이크카페 #한옥카페,주차
217,파이키,북카페,서울 종로구 서순라길 81 파이키 (우)03134,수~일 10:00 ~ 22:00,instagram.com/fikee.seoul?utm_medium=copy_link,0507-1412-0282,#서순라길카페 #종로카페 #서순라길북카페 #서울북카페 #종로북카페 #독립서점 #북카페 #카카오페이 #제로페이,"WIFI, 동물출입, 주차"
218,까치화방 종로점,테마카페,서울 종로구 종로 51 종로타워 1층 102호 (우)03161,매일 09:00 ~ 22:00,www.instagram.com/cachi_flowercafe,02-730-2040,#플라워카페 #제로페이,none
219,프롬하츠커피 대학로점,커피전문점,서울 종로구 대학로 127 1층 (우)03078,월~토 10:00 ~ 23:00,www.fromheartscoffee.com,02-762-3581,#대형카페 #디저트카페 #제로페이,"WIFI, 흡연실"
220,조쉬윌로우커피,커피전문점,서울 종로구 종로 185 2층 (우)03130,월~금 09:00 ~ 23:00,www.instagram.com/joshwillow_coffee,02-764-4085,#루프탑있는 #분위기좋은 #제로페이,none
221,쏘리에스프레소바,카페,서울 종로구 자하문로2길 12 1층 (우)03044,월~금 08:00 ~ 18:00,www.instagram.com/sorry_espressobar,010-9590-9659,#경복궁맛집 #서울에스프레소바 #서촌에그타르트 #에그타르트 #종로에그타르트 #스탠딩바 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
222,로쏘,카페,서울 종로구 삼청로 81-12 (우)03054,"화,수,목,금,일 11:30 ~ 21:00",None,None,#로스팅전문 #앤틱한 #핸드드립전문점 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
223,카페효제눅,카페,서울 종로구 창경궁로16길 69 1층 (우)03127,월~금 07:00 ~ 19:00,www.instagram.com/hyoje_nook,02-742-3161,#브런치카페 #제로페이,none
224,리본윈도우,카페,서울 종로구 대학로14길 25-1 윤서빌딩 1층 (우)03084,화~일 11:30 ~ 21:30,www.instagram.com/ribbonwindow,070-4110-2568,#브런치카페 #제로페이,동물출입
225,전통찻집 인사동,전통찻집,서울 종로구 인사동길 33-1 (우)03149,매일 10:00 ~ 23:00,None,02-723-4909,#한옥카페 #제로페이,주차
226,카페레이서,카페,서울 종로구 북촌로 53 (우)03052,매일 11:00 ~ 23:00,None,02-763-0015,#아침식사 #테라스가있는 #제로페이,none
227,투썸플레이스 동묘앞역점,투썸플레이스,서울 종로구 종로 335 원풍빌딩 1층 (우)03104,수~금 07:30 ~ 23:00,www.twosome.co.kr,02-741-8511,#카카오페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
228,낙원장,커피전문점,서울 종로구 수표로28길 25 (우)03133,매일 11:00 ~ 23:00,instagram.com/nagwonjang_seoul,02-743-7767,#멜론핫플리 #DJ카페 #디저트카페 #와인바 #카페 #칵테일바 #대형카페,주차
229,보드레안다미로,카페,서울 종로구 삼청로 63-1 1~3층 (우)03054,"월,수,목,금,토,일 11:00 ~ 19:00",www.bodre-andamiro.com,02-723-0101,#갤러리카페 #건강빵 #디저트카페 #커피교육 #핸드드립전문점 #데이트코스 #제로페이,none
230,이디야커피 종로3가점,이디야커피,서울 종로구 종로 126 1층 (우)03192,월~금 08:00 ~ 23:10,www.ediya.com,02-2265-3690,#카카오페이 #제로페이,none
231,퍼블릭가든,카페,서울 종로구 청계천로 199 신대한빌딩 4층 (우)03195,매일 11:00 ~ 22:00,www.instagram.com/publicgarden.seoul,0507-1375-3402,#루프탑있는 #지중해요리,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방"
232,오가다 대학로본사점,오가다,"서울 종로구 대학로12길 15 1, 2층 (우)03086",월~금 09:00 ~ 24:00,www.ogada.co.kr,070-4483-4619,#디저트카페,"WIFI, 주차"
233,갤러리더스퀘어,카페,서울 종로구 계동길 128 201호 (우)03057,월~금 12:00 ~ 20:00,www.instagram.com/gallery_the_square,None,#비건푸드 #제로페이,none
234,카페트루어스,카페,"서울 종로구 인사동길 11 2,3층 (우)03164",매일 08:30 ~ 23:00,None,02-722-4855,#데이트코스 #디저트카페 #로스팅전문,none
235,아뻬 서울,카페,서울 종로구 창경궁로35나길 1 1층 (우)03076,매일 12:30 ~ 20:30,apeseoul.com,070-8666-0227,#까눌레 #꿀카페 #도시양봉 #메도빅 #양봉카페 #이동약자접근 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
236,에그마카슈 대학로점,디저트카페,서울 종로구 대학로12길 13 청민빌딩 1층 (우)03086,매일 11:00 ~ 21:00 (20:30 이후 타르트 소진시 종료),www.instagram.com/eggmacachou,010-9998-5584,#데이트코스 #디저트카페 #제로페이,주차
237,노우즈 종로풍경점,카페,서울 종로구 우정국로2길 8 3층 (우)03189,매일 11:00 ~ 21:00,www.instagram.com/knowsproject,02-725-1239,#브런치카페 #핸드드립전문점,none
238,달콤커피 청계광장점,달콤커피,서울 종로구 종로 24-8 (우)03188,월~금 08:00 ~ 23:00,www.dalkomm.com,02-722-5857,#루프탑있는 #카카오페이,"WIFI, 흡연실"
239,사월의물고기,카페,서울 종로구 인사동길 62-5 충훈빌딩 2층 (우)03146,"월,화,목,금,토 12:00 ~ 21:00",www.instagram.com/4wall_fish,02-733-8520,#이동약자접근 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
240,모리셔스브라운 대학로마로니에공원점,카페,서울 종로구 대학로 112 1층 (우)03086,매일 08:00 ~ 22:00,mauritiusbrown.com,02-762-6913,#데이트코스 #야외카페 #이동약자접근 #테라스가있는 #카카오페이 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
241,통인스윗카페,카페,서울 종로구 자하문로7길 10 (우)03040,"월,화,수,목,일 11:00 ~ 22:00",None,02-737-8777,#데이트코스 #한옥스타일,none
242,두채,디저트카페,서울 종로구 율곡로13가길 8 1층 (우)03081,월~금 08:00 ~ 21:00,instagram.com/ll.doochae,070-4633-3825,#대형카페 #루프탑있는 #모던한 #베이커리카페 #제로페이,"WIFI, 동물출입, 주차, 휠체어사용, 흡연실"
243,네스트,카페,서울 종로구 자하문로 21 5층 (우)03040,매일 11:00 ~ 22:00,www.instagram.com/nest.seoul,02-733-7555,None,"WIFI, 주차, 흡연실"
244,땡스오트 안국,카페,서울 종로구 북촌로 21-10 1층 (우)03060,매일 10:00 ~ 19:00,instagram.com/thanksoat,02-766-0890,#카카오페이 #제로페이,"WIFI, 동물출입, 흡연실"
245,스타벅스 경희궁로점,스타벅스,서울 종로구 새문안로3길 15 (우)03175,월~금 07:00 ~ 21:00,www.starbucks.co.kr,1522-3232,#카카오페이,none
246,구테로이테 경복궁점,카페,서울 종로구 사직로 130 1층 (우)03170,월~금 07:00 ~ 22:00,www.instagram.com/gute_leute_,None,None,none
247,투썸플레이스 서린동청계광장점,투썸플레이스,"서울 종로구 청계천로 17 지하1층, 1~3층 (우)03188",월~금 07:00 ~ 23:00,www.twosome.co.kr,02-735-1927,#대형카페 #분위기좋은 #회의공간대여 #카카오페이,"WIFI, 동물출입, 주차, 놀이방, 흡연실"
248,아트포라이프,카페,서울 종로구 백석동길 97 (우)03020,매일 11:30 ~ 24:00,None,02-3217-9364,None,none
249,티파니,테마카페,서울 종로구 대학로10길 20 3층 (우)03086,월~금 12:00 ~ 23:00,None,02-745-5353,#공주풍 #데이트코스 #룸카페 #보드게임카페 #실내놀거리,"WIFI, 동물출입, 주차, 놀이방"
250,시크릿챔버,테마카페,서울 종로구 창경궁로 258-12 2층 (우)03077,매일 10:30 ~ 24:00,www.secretchamber.kr,02-745-1614,#데이트코스 #방탈출카페 #실내놀거리,none
251,투썸플레이스 대학로아트점,투썸플레이스,서울 종로구 동숭길 123 드림아트센터 1층 (우)03086,월~목 08:00 ~ 21:00,www.twosome.co.kr,070-7749-4224,#대형카페,"WIFI, 동물출입, 주차"
252,브라이트사이드,카페,"서울 종로구 보문로7길 3 1,2층 (우)03111",매일 12:00 ~ 22:00,www.instagram.com/brightside_cafe,010-7565-1780,#제로페이,"WIFI, 동물출입, 주차, 흡연실"
253,카페랑솜,커피전문점,"서울 종로구 대학로11길 22 2,3층 (우)03078",매일 12:00 ~ 23:00,None,02-742-2185,#데이트코스 #제로페이,none
254,카페제이드,카페,서울 종로구 창경궁로34길 5 2층 (우)03077,화~토 12:00 ~ 22:00,www.instagram.com/gate4_cafe_jade,02-6083-0601,#디저트카페 #핸드드립전문점,none
255,올덴브라운 동묘점,카페,서울 종로구 종로 369-1 4층 (우)03113,목~일 10:00 ~ 24:00,www.instagram.com/oldenbrown_official,None,#빈티지분위기 #테라스가있는,주차
