,place_name,place_category_detail,place_adress,place_running_date,place_page,place_phone,place_tag,place_info
222,무계동언덕,전망대,서울 종로구 부암동 321-2,매일 00:00 ~ 00:10,story.kakao.com,02-795-2316,#몽유도원도 #무계정사 #안평대군 #부암동 #무계동언덕,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
223,광화문124위 시복터,문화유적,서울 종로구 세종로 1-68,None,None,None,None,none
224,창의궁 터,유적지,서울 종로구 효자로 19 (우)03044,None,None,None,None,none
225,북한산국립공원 사모바위코스,등산로,서울 종로구 구기동 산 3-1,None,www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=121500&menuNo=7020092,None,None,none
226,안평대군이용집터,유적지,서울 종로구 창의문로7길 28-4 (우)03022,None,None,None,None,none
227,해공신익희가옥,"생가,고택",서울 종로구 자하문로24길 49-7 (우)03042,None,www.haegong.kr,02-730-7558,None,none
228,궁궐담장길,도보여행,서울 종로구 와룡동 2-123,매일 09:00 ~ 18:00,None,None,#단풍명소 #산책로,none
229,보성사터,유적지,서울 종로구 수송동 80-7,None,None,None,None,none
230,단군성전,"사당,제단",서울 종로구 필운대로1길 26 (우)03039,None,None,None,None,none
231,김상옥의거터,"탑,비석",서울 종로구 종로2가 1-2,None,None,None,None,none
232,창덕궁 대조전,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=41&check_no=8&c_relation=10&c_relation2=72,None,None,주차
233,송석원 터,문화유적,서울 종로구 옥인동 24-2,None,None,None,None,none
234,네팔음식거리,먹자골목,서울 종로구 창신동 141-4,None,None,None,None,none
235,밤을 걷는 밤 1화(청운효자동~옥인동),밤을걷는밤,서울 종로구 청운동 7-3,None,tv.kakao.com/program/3647494,None,#걷기좋은,none
236,삼일문,문,서울 종로구 종로2가,None,None,None,None,none
237,흥화문터,유적지,서울 종로구 신문로1가 58-1,None,None,None,None,none
238,복정우물,문화유적,서울 종로구 삼청로4길 12-1 (우)03053,None,None,None,None,none
239,경복궁 자경전,문화유적,서울 종로구 사직로 161 (우)03045,매일 09:00 ~ 18:00,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121108090000,None,None,주차
240,우암송시열집터,"탑,비석",서울 종로구 성균관로17길 37 (우)03066,None,None,None,None,none
241,창경궁 옥천교,문화유적,서울 종로구 창경궁로 185 (우)03072,None,None,None,None,none
242,가회동한씨가옥,"생가,고택",서울 종로구 북촌로 46-3 (우)03056,None,None,None,None,none
243,횡보염상섭 동상,동상,서울 종로구 종로 1 (우)03154,None,None,None,None,none
244,맹사성집터,"생가,고택",서울 종로구 북촌로11길 74 (우)03052,None,None,None,None,none
245,경복궁 건춘문,문,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/content/data/data_03.asp,None,None,주차
246,조선어학회터,문화유적,서울 종로구 화동 128-2,None,None,None,None,none
247,운현궁 노락당,문화유적,서울 종로구 삼일대로 464 (우)03131,None,None,None,None,none
248,자선당유구,문화유적,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
249,곡장,"관광,명소",서울 종로구 부암동 산 2-3,None,tour.jongno.go.kr/tour/main/contents.do?menuNo=400767,None,None,none
250,캠벨선교사주택,"관광,명소",서울 종로구 사직로6길 15 (우)03167,None,None,None,None,none
251,북촌1경,"관광,명소",서울 종로구 원서동 141-4,None,None,None,None,none
252,반계윤웅렬별장,"생가,고택",서울 종로구 창의문로5가길 19 (우)03022,None,None,None,None,none
253,대성전,문화유적,서울 종로구 성균관로 25-1 (우)03063,None,None,None,#단풍명소,none
254,서울명예도로 감고당길,도보여행,서울 종로구 안국동 175-91,None,None,None,#걷기좋은,none
255,종묘 영녕전,문화유적,서울 종로구 종로 157 (우)03135,None,jm.cha.go.kr,02-765-1095,None,주차
256,북한산 관봉,산봉우리,서울 종로구 구기동 산 3-1,None,None,None,#일출명소 #포토존,none
257,창경궁 통명전,문화유적,서울 종로구 창경궁로 185 (우)03072,매일 09:00 ~ 18:00 (매표시간 17:00까지),cgg.cha.go.kr,None,None,none
258,관상감관천대,"탑,비석",서울 종로구 율곡로 75 (우)03058,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02960000,11",None,None,none
259,박자혜 산파 터,유적지,서울 종로구 인사동길 6 (우)03163,None,None,None,None,none
260,한성정부유적지 표석,"탑,비석",서울 종로구 내자동 67-2,None,None,None,None,none
261,서문,문,서울 종로구 종로 99 (우)03140,None,None,None,None,none
262,김상옥열사의상,동상,서울 종로구 동숭동,None,None,None,None,none
263,백세청풍 각자,바위,서울 종로구 청운동 52-111,None,None,None,None,none
264,종묘 공민왕신당,"릉,묘,총",서울 종로구 훈정동,None,jm.cha.go.kr,None,None,none
265,이준구가옥,"생가,고택",서울 종로구 북촌로11가길 49 (우)03052,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=31,00020000,11",None,None,none
266,경복궁 수정전,문화유적,서울 종로구 사직로 161 (우)03045,"월,수,목,금,토,일 09:00 ~ 18:00",www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117600000,None,None,주차
267,박수근집터,"생가,고택",서울 종로구 지봉로 11 (우)03120,None,None,None,None,none
268,서울다누림관광센터,관광안내소,서울 종로구 창경궁로 117 하나손해보험빌딩 1층 (우)03137,월~금 09:00 ~ 18:00,www.seouldanurim.net,1670-0880,#이동약자접근,"WIFI, 휠체어사용"
269,춘생문터,문화유적,서울 종로구 팔판동 115-42,None,None,None,None,none
270,서울테마산책길 삼청공원 순환산책길,도보여행,서울 종로구 삼청동 산 2-1,None,None,None,#걷기좋은 #봄나들이,none
271,창경궁 명정전,문화유적,서울 종로구 창경궁로 185 (우)03072,매일 09:00 ~ 18:00 (매표시간 17:00까지),cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/01/virtual_01.jsp&pageNo=79010000&siteCd=CGG,None,None,주차
272,창덕궁 규장각,문화유적,서울 종로구 율곡로 99 (우)03072,None,None,None,None,none
273,홍제천,하천,서울 종로구 신영동 71-1,None,None,None,#산책로,none
274,경복궁 흥복전,유적지,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
275,인왕산 석굴암1약수터,"샘터,약수터",서울 종로구 옥인동 산 3-41,None,None,None,None,none
276,낙산정,"관광,명소",서울 종로구 동숭동 50-141,None,None,None,None,none
277,정업원터,유적지,서울 종로구 동망산길 65 (우)03107,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=1&searchCondition=%EC%A0%95%EC%97%85%EC%9B%90&searchCondition2=&ccbaKdcd=21&ccbaAsno=00050000&ccbaCtcd=11&ccbaCpno=2111100050000&ccbaCndt=&ccbaLcto=&stCcbaAsdt=&endCcbaAsdt=&header=view&returnUrl=%2Fheri%2Fcul%2FculSelectViewList.do&pageNo=1_1_1_0&p=multiSch&sortType=&sortOrd=&s_kdcdArr=00&s_ctcdArr=00&ccbaPcd1Arr=99&ccbaGcodeArr=00,None,None,none
278,삼청로관광안내소,관광안내소,서울 종로구 삼청로 68 (우)03053,None,None,02-723-9472,#봄나들이 #이동약자접근,휠체어사용
279,심심헌,"관광,명소",서울 종로구 북촌로11길 47 (우)03052,None,www.simsimheon.com,None,None,none
280,척화비있던곳,"탑,비석",서울 종로구 관철동 291-2,None,None,None,None,none
281,만세동방약수터,"샘터,약수터",서울 종로구 삼청동 산 2-27,None,None,None,None,none
282,인왕산 해맞이명소,"관광,명소",서울 종로구 청운동 7-1,None,None,None,None,none
283,청와대 녹지원,"관광,명소",서울 종로구 세종로 1,"월,수,목,금,토,일 09:00 ~ 17:30",www.opencheongwadae.kr/main,None,#포토존,none
284,창경궁 문정전,문화유적,서울 종로구 창경궁로 185 (우)03072,화~일 09:00 ~ 18:00 (매표시간 17:00까지),None,None,None,주차
285,경복궁 근정문,문,서울 종로구 사직로 161 (우)03045,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121108120000,None,None,주차
286,진명여중고교터 표시석,"탑,비석",서울 종로구 창성동 67,None,None,None,None,none
287,구기계곡,계곡,서울 종로구 평창6길 79-141 (우)03003,None,None,None,#물놀이,none
288,손병희선생동상,동상,서울 종로구 종로 99 (우)03140,None,None,None,None,none
289,체부동홍종문가옥,"생가,고택",서울 종로구 자하문로5길 33 (우)03041,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=24,00290000,11&pageNo__=5_1_1_0&pageNo=1_1_2_0",None,None,none
290,창신동인장거리,테마거리,서울 종로구 창신동 455-1,None,None,None,None,none
291,승가사석조승가대사상,문화유적,서울 종로구 비봉4길 213 (우)03001,None,None,None,None,none
292,봉제골목,테마거리,서울 종로구 창신동,None,None,None,None,none
293,정명당,"도자기,도예촌",서울 종로구 인사동10길 14 (우)03148,None,None,02-730-9599,#제로페이,none
294,경복궁 협생문,문,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
295,경희궁 숭정문,문,서울 종로구 새문안로 45 (우)03177,None,None,None,None,none
296,창덕궁 희정당,문화유적,서울 종로구 율곡로 99 (우)03072,월요일,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=40&check_no=8&c_relation=9&c_relation2=71,None,#단풍명소,주차
297,목은이색선생영당,"사당,제단",서울 종로구 종로5길 76 (우)03151,None,None,None,None,none
298,경복궁 자선당,문화유적,서울 종로구 세종로 1-1,None,www.royalpalace.go.kr/content/data/data_03_07.asp,None,None,주차
299,4.19최초발포현장,문화유적,서울 종로구 효자동 139,None,None,None,None,none
300,여행자지원센터 안내소,관광안내소,서울 종로구 관철동 10-2,None,tiac.or.kr/lang_kr/index.php,1800-9008,None,none
301,경복궁 안내소,관광안내소,서울 종로구 삼청로 37 (우)03045,None,www.royalpalace.go.kr/content/guide/guide01_tab01.asp,02-3700-3900,None,none
302,서울도보관광코스 1코스(청계천),도보여행,서울 종로구 장사동,None,None,None,#걷기좋은,none
303,천경자 가옥,"생가,고택",서울 종로구 필운대로 31-3 (우)03039,None,None,None,None,none
304,치마바위,바위,서울 종로구 옥인동,None,None,None,None,none
305,동네골목길관광코스 9코스(종로1.2.3.4가),도보여행,서울 종로구 인사동,None,None,None,#걷기좋은,none
306,경복궁 사정전,문화유적,서울 종로구 사직로 161 (우)03045,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117590000,None,None,주차
307,청와대 여민2관,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,None,none
308,구대한의원 본관,문화유적,서울 종로구 대학로 101 (우)03080,None,None,None,None,none
309,서울중심점표지석,문화유적,서울 종로구 인사동5길 25 로비 (우)03162,None,futureheritage.seoul.go.kr/web/investigate/HeritageView.do?htId=202,None,None,none
310,경우궁터,유적지,서울 종로구 율곡로 67 (우)03059,None,None,None,#산책로,none
311,백운동천,하천,서울 종로구 청운동 6-6,None,None,None,#단풍명소,none
312,3.1독립운동기념터,유적지,서울 종로구 인사동길 7-1 (우)03164,None,None,None,None,none
313,북인사관광안내소,관광안내소,서울 종로구 인사동길 62 (우)03146,None,congoha.cafe24.com,02-734-0222,None,none
314,청와대 여민1관,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,None,none
315,구 평화극장 터,유적지,서울 종로구 종로 199 (우)03130,None,None,None,None,none
316,한성부 중부관아터,문화유적,서울 종로구 종로3가 45-4,None,None,None,None,none
317,현진건 집터,"생가,고택",서울 종로구 부암동 323-1,None,None,None,None,none
318,한성도서주식회사터,문화유적,서울 종로구 우정국로 63 (우)03144,None,None,None,#포토존,none
319,서울천주교순례길 말씀의길,도보여행,서울 종로구 원남동,None,None,None,#걷기좋은,none
320,국립민속박물관 오촌댁,문화유적,서울 종로구 세종로 1-1,"월,화,수,목,일 09:00 ~ 18:00",www.nfm.go.kr,None,None,none
321,삼일독립선언유적지,유적지,서울 종로구 인사동 194-27,None,None,None,None,none
322,서울대학교병원 세종대왕동상,동상,서울 종로구 대학로 103 (우)03080,None,None,None,None,none
323,한글가온길,"관광,명소",서울 종로구 당주동 100-6,None,None,None,None,none
324,어니스트베델의 집터,문화유적,서울 종로구 홍파동 2-2,None,None,None,None,none
325,순화궁터,유적지,서울 종로구 인사동 194-27,None,None,None,None,none
326,동네골목길관광코스 5코스(평창동),도보여행,서울 종로구 평창동,None,None,None,#걷기좋은,none
327,창덕궁 연경당,문화유적,서울 종로구 율곡로 99 (우)03072,매일 09:00 ~ 18:00 (매표시간 17:00까지),www.cdg.go.kr/main/main.htm,None,#단풍명소 #벚꽃명소,none
328,이상재선생동상,동상,서울 종로구 종로 157 (우)03135,None,None,None,None,none
329,경희궁 숭정전,"고궁,궁",서울 종로구 새문안로 45 (우)03177,None,None,None,None,none
330,이율곡선생살던집터,"생가,고택",서울 종로구 인사동7길 12 (우)03149,None,None,None,None,none
331,태화궁 터,문화유적,서울 종로구 삼청로 115-21 (우)03049,None,None,None,None,none
332,동네골목길관광코스 문학둘레길,도보여행,서울 종로구 세종로 77-9,None,None,None,#걷기좋은 #봄나들이,none
333,세종대왕나신곳 표지석,"탑,비석",서울 종로구 통인동 118-1,None,None,None,None,none
334,궁중문화축전,"고궁,궁",서울 종로구 사직로 161 (우)03045,None,www.royalculturefestival.org,02-3210-4684,None,주차
335,여운형집터,문화유적,서울 종로구 계동 140-10,None,None,None,#나들이,none
336,대통령관저 청안당,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,None,None,None,none
337,경희궁지,문화유적,서울 종로구 새문안로 45 (우)03177,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02710000,11",None,None,none
338,종묘 북신문,문,서울 종로구 종로 157 (우)03135,None,None,None,None,none
339,국립민속박물관 효자각,문화유적,서울 종로구 세종로 1-1,"월,화,수,목,일 09:00 ~ 18:00",www.nfm.go.kr,None,None,none
340,송진우집터,문화유적,서울 종로구 창덕궁길 117 메디오러스 1층 (우)03057,None,None,None,None,none
341,6.10독립만세선창터,문화유적,서울 종로구 돈화문로 27 (우)03139,None,None,None,None,none
342,부용지,저수지,서울 종로구 와룡동,None,None,None,#단풍명소 #일출명소,주차
343,clayu,"도자기,도예촌",서울 종로구 삼일대로32가길 29-1 (우)03132,None,None,None,None,none
344,서북학회터,문화유적,서울 종로구 경운동 49,None,None,None,None,none
345,자생식물학습장,"수목원,식물원",서울 종로구 창경궁로 185 (우)03072,None,None,None,None,none
346,탕춘대터,문화유적,서울 종로구 신영동 128-1,None,None,None,None,none
347,박인환집터,유적지,서울 종로구 세종로 116,None,None,None,None,none
348,김상용집터,"생가,고택",서울 종로구 자하문로33길 22-10 (우)03031,None,None,None,None,none
349,소파방정환선생 생가터,"생가,고택",서울 종로구 새문안로5가길 5 (우)03173,None,None,None,None,none
350,옥호정 터,"탑,비석",서울 종로구 삼청로 131-1 (우)03049,None,None,None,None,none
351,제중원 터,문화유적,서울 종로구 북촌로 15 (우)03060,None,None,None,None,none
352,원서동백홍범가옥,"생가,고택",서울 종로구 창덕궁길 134 (우)03051,None,None,None,None,none
353,세창서관 터,문화유적,서울 종로구 종로3가 10-5,None,None,None,None,none
354,운니동김승현가,"생가,고택",서울 종로구 삼일대로 470 (우)03131,None,None,None,None,none
355,초교터,유적지,서울 종로구 종로41길 1 (우)03125,None,None,None,None,none
356,서울재동백송,"관광,명소",서울 종로구 북촌로 15 (우)03060,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16,00080000,11&pageNo=1_1_1_0",None,None,none
357,인평대군집터,문화유적,서울 종로구 이화장1가길 6 (우)03100,None,None,None,None,none
358,경복궁 용성문,문,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
359,경기감영터,문화유적,서울 종로구 평동 234,None,None,None,None,none
360,곡장안내소,관광안내소,서울 종로구 부암동 산 2-1,None,None,None,None,none
361,손병희선생집터,유적지,서울 종로구 북촌로 39 (우)03055,None,None,None,None,none
362,법흥사 터,문화유적,서울 종로구 삼청동 산 2-1,None,None,None,None,none
363,창덕궁 단봉문,문,서울 종로구 와룡동 2-126,None,None,None,None,none
364,서울경모궁지,문화유적,서울 종로구 대학로 103 (우)03080,None,None,None,None,none
365,운현궁 이로당,문화유적,서울 종로구 삼일대로 470 (우)03131,None,None,None,None,none
366,종로국제서당,"향교,서당",서울 종로구 북촌로 20-27 (우)03059,None,None,None,None,none
367,경운동 민병옥 가옥,"생가,고택",서울 종로구 인사동10길 23-9 (우)03146,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=24,00150000,11&pageNo=1_1_1_0",None,None,none
368,기차바위 능성,바위,서울 종로구 부암동,None,None,None,#일출명소,none
369,경복궁 외소주방,문화유적,서울 종로구 세종로 1-1,None,None,None,#포토존,none
370,부용정,문화유적,서울 종로구 율곡로 99 (우)03072,None,None,None,None,none
371,1.21사태 소나무,문화유적,서울 종로구 부암동 산 2-4,None,None,None,None,none
372,하마비와 탕평비각,유적지,서울 종로구 성균관로 25-2 (우)03063,None,None,None,None,none
373,남이장군집터,문화유적,서울 종로구 대학로 79-1 (우)03082,None,None,None,None,none
374,옥류동천,하천,서울 종로구 옥인동 185-2,None,None,None,None,none
375,김정희 본가 터,문화유적,서울 종로구 적선동 8-4,None,None,None,None,none
376,창덕궁 중희당터,유적지,서울 종로구 율곡로 99 (우)03072,None,None,None,None,none
377,자수궁터,문화유적,서울 종로구 옥인동 24-2,None,None,None,None,none
378,겸재정선집터,문화유적,서울 종로구 자하문로28가길 9 (우)03047,None,None,None,None,none
379,종친부 경근당,문화유적,서울 종로구 삼청로 30 (우)03062,None,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_1_1&ccbaCpno=1121121510000,None,#산책로,none
380,백사이항복집터,"생가,고택",서울 종로구 필운대로1길 34 (우)03039,None,sca.seoul.go.kr/korean/culturalAsset.jsp?sCode=100091&sClssCode=1&sClssCode2=4,None,None,주차
381,경희궁 금천교,문화유적,서울 종로구 새문안로 55 (우)03177,None,None,None,None,none
382,서울북악산일원,문화유적,서울 종로구 삼청동 산 2-27,None,None,None,#봄나들이,none
383,동네골목길관광코스 3코스(삼청동),도보여행,서울 종로구 삼청동,None,None,None,#걷기좋은,none
384,동령폭포,폭포,서울 종로구 평창동 산 6-1,None,None,None,None,none
385,쌈지샛길,"관광,명소",서울 종로구 인사동길 44 (우)03146,None,None,None,None,none
386,경복궁 안내,관광안내소,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/content/guide/guide01_tab06.asp,02-3700-3900,None,none
387,김옥균집터,문화유적,서울 종로구 북촌로5길 48 (우)03055,None,None,None,None,none
388,박종화의집,"생가,고택",서울 종로구 평창11길 80 (우)03005,None,None,None,None,none
389,어영청터,유적지,서울 종로구 창경궁로 109 (우)03137,None,None,None,None,none
390,민영환의집터,"생가,고택",서울 종로구 우정국로 57 (우)03144,None,None,None,None,none
391,창덕궁 원역처소,"고궁,궁",서울 종로구 율곡로 99 (우)03072,None,None,None,None,none
392,백운장 터,문화유적,서울 종로구 청운동 6,None,None,None,None,none
393,이현궁터,문화유적,서울 종로구 인의동 28-9,None,None,None,None,none
394,안동별궁 터,유적지,서울 종로구 율곡로3길 4 (우)03061,None,None,None,None,none
395,경성궤도회사터,문화유적,서울 종로구 종로 286 (우)03119,None,None,None,None,none
396,구동아일보,문화유적,서울 종로구 세종로,None,None,None,None,none
397,창덕궁 영화당,"고궁,궁",서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=44&check_no=9&c_relation=14&c_relation2=76,None,None,none
398,전봉준동상,동상,서울 종로구 서린동 26-1,None,None,None,None,none
399,대한천일은행본점터,문화유적,서울 종로구 관철동 268,None,None,None,None,none
400,형평사 터,문화유적,서울 종로구 세종대로 175 (우)03172,None,None,None,None,none
401,번사창,문화유적,서울 종로구 삼청로 118 (우)03053,None,None,None,None,none
402,대한매일신보창간사옥터,유적지,서울 종로구 수송동 80-7,None,None,None,None,none
403,경복궁 계무문,문화유적,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
404,신흥대학 터,유적지,서울 종로구 수송동 80-7,None,None,None,None,none
405,선희궁터,문화유적,서울 종로구 필운대로 103 (우)03032,None,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=21,00320000,11&pageNo=1_1_1_0",None,#일출명소,none
406,3.1운동 유적지 상춘원터,문화유적,서울 종로구 종로 371 (우)03113,None,None,None,None,none
407,한성부 북부관아터,유적지,서울 종로구 삼청로 20-1 (우)03062,None,None,None,None,none
408,서울테마산책길 진경산수화길,도보여행,서울 종로구 청운동 3-101,None,None,None,#걷기좋은,none
409,독립운동가길,유적지,서울 종로구 화동 2,None,None,None,None,none
410,훈련도감터,유적지,서울 종로구 새문안로 75 (우)03182,None,None,None,None,none
411,창경궁 풍기대,문화유적,서울 종로구 창경궁로 185 (우)03072,None,None,None,None,none
412,창경궁 월근문,문,서울 종로구 와룡동,None,None,None,None,주차
413,서울 장의사지 당간지주,"탑,비석",서울 종로구 세검정로9길 1 (우)03014,None,None,None,None,none
414,김창숙선생집터,문화유적,서울 종로구 창경궁로27길 66-8 (우)03073,None,None,None,None,none
415,서울명예도로 소나무길,도보여행,서울 종로구 명륜4가 79,None,None,None,#걷기좋은,none
416,돈의문박물관마을 안내소,관광안내소,서울 종로구 송월길 14-3 1층 (우)03178,화~일 10:00 ~ 19:00,None,None,None,none
417,안창호선생 흉상,동상,서울 종로구 대학로 122 (우)03086,None,None,None,None,none
418,운현궁 수직사,문화유적,서울 종로구 삼일대로 464 (우)03131,None,None,None,None,none
419,해머링맨,동상,서울 종로구 신문로1가 5-4,None,None,None,None,none
420,탑골공원 원각사비,"탑,비석",서울 종로구 종로 99 (우)03140,None,None,None,None,none
421,서울여자경찰서 터,유적지,서울 종로구 세종대로 198 (우)03141,None,None,None,None,none
422,경복궁 태원전,문화유적,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/html/data/data_03_10.jsp?dep1=3&dep2=3,None,None,주차
423,서울대문리대터,유적지,서울 종로구 대학로 104 (우)03087,None,None,None,None,none
424,창덕궁 성정각,"고궁,궁",서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,None,#벚꽃명소,none
425,신간회본부터,문화유적,서울 종로구 종로2가 84-11,None,None,None,None,none
426,취운정 터,문화유적,서울 종로구 삼청동 산 2-1,None,None,None,None,none
427,사직정,"관광,명소",서울 종로구 사직로8길 4 (우)03168,None,None,None,None,"WIFI, 동물출입, 주차, 휠체어사용, 놀이방, 흡연실"
428,동궁권역,"관광,명소",서울 종로구 사직로 161 (우)03045,None,None,None,None,none
429,송기교 터,문화유적,서울 종로구 세종로 205-1,None,None,None,None,none
430,동아일보 창간사옥터,문화유적,서울 종로구 화동 138-11,None,None,None,None,none
431,지청천장군생가터,"생가,고택",서울 종로구 삼청로 126-1 (우)03053,None,None,None,None,none
432,창경궁 팔각칠층석탑,"탑,비석",서울 종로구 창경궁로 185 (우)03072,None,"m.cha.go.kr/public/commentary/culSelectDetail.do?VdkVgwKey=12,11190000,11&pageNo=77010000",None,None,주차
433,낙산성곽길,"관광,명소",서울 종로구 창신2동 640-362,None,None,None,None,none
434,감고당터,문화유적,서울 종로구 율곡로3길 50 (우)03061,None,None,None,None,none
435,김성수선생옛집,"생가,고택",서울 종로구 계동길 84-6 (우)03057,None,None,None,None,none
436,창덕궁 선정전,문화유적,서울 종로구 율곡로 99 (우)03072,월요일,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=39&check_no=8&c_relation=8&c_relation2=70,None,None,주차
437,주시경흉상,동상,서울 종로구 새문안로3길 7 (우)03175,None,None,None,None,none
438,충무공 이순신 백의종군로 출발지,문화유적,서울 종로구 공평동 100-19,None,None,None,None,none
439,김형태가옥,"생가,고택",서울 종로구 북촌로 67-4 (우)03052,None,None,None,None,none
440,화신백화점터,유적지,서울 종로구 종로 51 (우)03161,None,None,None,None,none
441,서울역사박물관 전차381호,문화유적,서울 종로구 새문안로 55 서울디자인지원센터 1~3층 (우)03177,화~금 09:00 ~ 20:00,www.museum.seoul.kr/www/NR_index.do?sso=ok,02-724-0274,None,none
442,궁정파출소 터,문화유적,서울 종로구 자하문로28길 14 (우)03047,None,None,None,None,none
443,구서울대학교 본관,문화유적,서울 종로구 동숭길 3 (우)03087,None,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02780000,11",None,None,none
444,청와대 수궁터,"관광,명소",서울 종로구 청와대로 1 (우)03048,None,www.opencheongwadae.kr/introduce-map04,None,#포토존,none
445,옥호루,문화유적,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
446,서광범집터,유적지,서울 종로구 율곡로3길 50 (우)03061,None,None,None,None,none
447,창경궁 선인문,문,서울 종로구 창경궁로 185 (우)03072,None,None,None,None,주차
448,사동궁터,문화유적,서울 종로구 견지동 85-18,None,None,None,None,none
449,옛휘문고교터,유적지,서울 종로구 율곡로 75 (우)03058,None,None,None,None,none
450,경복궁 집경당,문화유적,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr,None,None,none
451,여단 터,문화유적,서울 종로구 평창동 113-1,None,None,None,None,none
452,충훈부터,문화유적,서울 종로구 인사동길 62-5 (우)03146,None,None,None,None,none
453,육의전터,유적지,서울 종로구 공평동 70-4,None,None,None,None,none
454,제생원터,유적지,서울 종로구 율곡로 75 (우)03058,None,None,None,None,none
455,경복궁 아미산,문화유적,서울 종로구 사직로 161 (우)03045,None,www.royalpalace.go.kr/html/main/main.jsp,None,None,주차
456,전의감터,유적지,서울 종로구 우정국로 59 (우)03144,None,None,None,None,none
457,한남서림 터,문화유적,서울 종로구 인사동8길 2 (우)03148,None,None,None,None,none
458,창덕궁 부용정,문화유적,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=44&check_no=9&c_relation=14&c_relation2=76,None,None,주차
459,유심사터,"생가,고택",서울 종로구 계동길 92-3 (우)03057,None,None,None,None,none
460,건순각,서원,서울 종로구 사직로 161 (우)03045,None,None,None,None,none
461,지석영선생집터,유적지,서울 종로구 낙원동 5-2,None,None,None,None,none
462,3.1독립운동기념터 중앙학림,문화유적,서울 종로구 성균관로17길 22 (우)03066,None,None,None,None,none
463,창경궁 관천대,문화유적,서울 종로구 창경궁로 185 (우)03072,월~금 09:00 ~ 18:00,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=12,08510000,11&pageNo=1_1_1_0",None,None,none
464,조지서터,문화유적,서울 종로구 신영동 124-1,None,None,None,None,none
465,창덕궁 인정문,문,서울 종로구 율곡로 99 (우)03072,None,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=38&check_no=8&c_relation=7&c_relation2=69,None,None,주차
466,조계사목석가불좌상,"불상,석불",서울 종로구 우정국로 55 (우)03144,None,None,None,None,none
467,앙부일구,문화유적,서울 종로구 효자로 12 국립고궁박물관 (우)03045,None,None,None,None,none
468,종로관성묘,"사당,제단",서울 종로구 성균관로7길 35 (우)03071,None,None,None,None,none
469,국보위터,유적지,서울 종로구 소격동 165,None,None,None,None,none
470,창덕궁 옥류천일원,문화유적,서울 종로구 율곡로 99 (우)03072,매일 10:00 ~ 17:30,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,None,None,주차
471,응란교터,유적지,서울 종로구 대학로 103 (우)03080,None,None,None,None,none
