trip_name,trip_category_detail,trip_address,trip_times,place_page,trip_phone,info_content,place_category_group
3.1독립운동기념터 중앙학림,문화유적,서울 종로구 성균관로17길 22 (우)03066,-,-,-,none,명소
조계사목석가불좌상,"불상,석불",서울 종로구 우정국로 55 (우)03144,-,-,-,none,명소
창경궁 관천대,문화유적,서울 종로구 창경궁로 185 (우)03072,월~금 09:00 ~ 18:00,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=12,08510000,11&pageNo=1_1_1_0",-,none,명소
앙부일구,문화유적,서울 종로구 효자로 12 국립고궁박물관 (우)03045,-,-,-,none,명소
종로관성묘,"사당,제단",서울 종로구 성균관로7길 35 (우)03071,-,-,-,none,명소
창덕궁 인정문,문,서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=38&check_no=8&c_relation=7&c_relation2=69,-,주차,명소
조계사 백송,문화유적,서울 종로구 우정국로 55 (우)03144,-,"www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16,00090000,11&pageNo=1_1_1_0",-,none,명소
응란교터,유적지,서울 종로구 대학로 103 (우)03080,-,-,-,none,명소
조지서터,문화유적,서울 종로구 신영동 124-1,-,-,-,none,명소
창덕궁 옥류천일원,문화유적,서울 종로구 율곡로 99 (우)03072,매일 10:00 ~ 17:30,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,-,주차,명소
청와대 소정원,"관광,명소",서울 종로구 세종로 1,-,-,-,none,명소
창덕궁 청의정,문화유적,서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr,-,주차,명소
홍제천,하천,서울 종로구 홍지동,-,-,-,none,관광
태화관길,테마거리,서울 종로구 인사동5길 14 (우)03149,-,-,-,none,관광
금위영터,유적지,서울 종로구 운니동 98-5,-,-,-,none,명소
한성부동부관아터,유적지,서울 종로구 인의동 48-26,-,-,-,none,명소
말바위전망대,전망대,서울 종로구 삼청동 산 2-1,-,-,-,none,관광
서울도보관광코스 창덕궁~생태코스,도보여행,서울 종로구 와룡동,-,-,-,none,관광
구공업전습소 본관,문화유적,서울 종로구 대학로 86 (우)03087,-,"www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02790000,11",-,none,명소
세계어린이운동발상지 기념비,"탑,비석",서울 종로구 경운동 88-3,-,-,-,none,명소
전차차고터,문화유적,서울 종로구 종로6가 289-58,-,-,-,none,명소
의영고터,문화유적,서울 종로구 도렴동 95-1,-,-,-,none,명소
구기천,하천,서울 종로구 구기동,-,-,-,none,관광
독립협회 창립총회 터,문화유적,서울 종로구 세종대로 198 (우)03141,-,-,-,none,명소
혜정교 터,문화유적,서울 종로구 종로1가 1-3,-,-,-,none,명소
창경궁 경춘전,문화유적,서울 종로구 창경궁로 185 (우)03072,-,-,-,주차,명소
정종수경사 순직비,동상,서울 종로구 청운동 산 1-1,-,-,-,none,명소
서울명예도로 박수근길,도보여행,서울 종로구 지봉로 지하 24 (우)03114,-,-,-,none,관광
석조여래좌상,"불상,석불",서울 종로구 청와대로 1 (우)03048,-,www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=1&searchCondition=%EB%B0%A9%ED%98%95%EB%8C%80%EC%A2%8C&searchCondition2=&ccbaKdcd=12&ccbaAsno=19770000&ccbaCtcd=11&ccbaCpno=1121119770000&ccbaCndt=&ccbaLcto=&stCcbaAsdt=&endCcbaAsdt=&header=view&returnUrl=%2Fheri%2Fcul%2FculSelectViewList.do&pageNo=1_1_1_0&p=multiSch&sortType=&sortOrd=&sngl=Y&s_kdcdArr=00&s_ctcdArr=00&ccbaPcd1Arr=99&ccbaGcodeArr=00,-,none,명소
협률사원각사터,문화유적,서울 종로구 신문로1가 240,-,-,-,none,명소
조선일보창간사옥터,문화유적,서울 종로구 관철동 268,-,-,-,none,명소
서울지구 병사구사령부 터,문화유적,서울 종로구 청진동 128,-,-,-,none,명소
경복궁 비현각,문화유적,서울 종로구 삼청로 37 (우)03045,화요일,-,-,주차,명소
창덕궁 구선원전,문화유적,서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr/main/main.htm,-,주차,명소
창덕궁 애련지,연못,서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,-,주차,관광
청송당 바위,바위,서울 종로구 자하문로 136 (우)03047,-,-,-,none,관광
조양교터,유적지,서울 종로구 율곡로14길 43 (우)03123,-,-,-,none,명소
혜화동김상협가,"생가,고택",서울 종로구 혜화로6길 63 (우)03067,-,-,-,none,명소
진사식당,문화유적,서울 종로구 성균관로 25-1 (우)03063,-,-,-,none,명소
한성전보총국터,문화유적,서울 종로구 도렴동 80-2,-,-,-,none,명소
북한산국립공원 비봉코스,등산로,서울 종로구 구기동 산 3-1,-,www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=121500&menuNo=7020092,-,none,관광
국립민속박물관 오촌댁,문화유적,서울 종로구 세종로 1-1,"월,화,수,목,일 09:00 ~ 18:00",www.nfm.go.kr,-,none,명소
국립민속박물관 효자각,문화유적,서울 종로구 세종로 1-1,"월,화,수,목,일 09:00 ~ 18:00",www.nfm.go.kr,-,none,명소
창덕궁 주합루,문화유적,서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr/bulletin/list01.htm?TbCode=10,-,주차,명소
전사청,"사당,제단",서울 종로구 사직로 89 (우)03027,매일 08:00 ~ 16:30,-,-,none,명소
창덕궁 관람정,"고궁,궁",서울 종로구 율곡로 99 (우)03072,-,www.cdg.go.kr/default.jsp,-,주차,명소
계림 종로본점,닭요리,서울 종로구 돈화문로4길 39 (우)03193,월~토 11:30 ~ 21:40,www.jongrokelim.com,02-2263-6658,WIFI 동물출입 주차 휠체어사용,식사
양연화로 종로직영점,"육류,고기","서울 종로구 삼일대로17길 18 1,2층 (우)03190",매일 11:00 ~ 22:00,app.catchtable.co.kr/ct/shop/82my,02-3210-0808,WIFI 동물출입 주차 휠체어사용,식사
종로설렁탕,설렁탕,서울 종로구 종로 110 (우)03192,매일 00:00 ~ 24:00,-,02-2271-3820,주차,식사
종로도담,한식,"서울 종로구 삼봉로 78 1,2층 (우)03158",매일 11:00 ~ 22:00,www.instagram.com/taekdaeri_official,0507-1321-9850,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
메이탄 종로점,중국요리,서울 종로구 경교장1길 17 (우)03180,매일 11:00 ~ 21:30,jrmeitan.modoo.at,02-738-6686,주차,식사
종로찌게마을,"찌개,전골",서울 종로구 삼일대로30길 10-4 (우)03133,월~토 10:30 ~ 24:00,-,02-747-4518,동물출입 주차 놀이방 흡연실,식사
VIP참치 종로점,참치회,서울 종로구 삼일대로15길 25 2층 (우)03190,매일 11:00 ~ 22:00,-,02-720-3888,none,식사
왕비집 종로직영점,갈비,서울 종로구 삼일대로15길 24 2층 (우)03190,월~금 11:00 ~ 22:00,www.wangbijib.com,02-720-3066,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
갓덴스시 종로점 (휴업중),"초밥,롤",서울 종로구 종로12길 14 (우)03189,-,www.instagram.com/gattensushi_kr,-,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
옥토버훼스트 종로점,"호프,요리주점",서울 종로구 종로5길 13 삼공빌딩 1층 (우)03157,월~토 16:00 ~ 24:00,www.oktoberfest.co.kr,02-738-8881,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
마이클바이해비치 종로,이탈리안,서울 종로구 우정국로 26 센트로폴리스 B타워 2층 (우)03161,월~금 11:00 ~ 22:00,www.michaelsbyhaevichi.com,02-722-4300,주차,식사
육회자매집 종로3호점,"육류,고기","서울 종로구 종로 208 1,2층 201,203,204호 (우)03195",월~토 11:00 ~ 21:30,www.zamezip.com,02-2272-3036,주차,식사
바비레드 종로점,양식,서울 종로구 종로 51 종로타워 지하2층 211호 (우)03161,매일 11:00 ~ 21:30,bobired.co.kr,02-736-1517,주차,식사
미도갈비 종로직영점,갈비,서울 종로구 삼일대로15길 25 1층 (우)03190,월~금 11:00 ~ 22:00,-,02-725-9233,WIFI 동물출입 주차 휠체어사용,식사
본고향맛집 동묘점,"육류,고기",서울 종로구 지봉로 16 동암빌딩 1층 (우)03114,매일 00:00 ~ 24:00,bongohyang.modoo.at,02-2234-3392,주차,식사
종로불돼지,"육류,고기",서울 종로구 청계천로 67 종로1번가빌딩 1층 (우)03189,매일 11:30 ~ 01:00,-,02-734-1190,주차,식사
종로족빨,"족발,보쌈",서울 종로구 우정국로2길 14 (우)03189,매일 11:00 ~ 08:00,-,-,WIFI 주차,식사
종로등심,"육류,고기",서울 종로구 종로40가길 24 1층 (우)03197,월~토 10:30 ~ 22:00,-,02-2273-7933,주차,식사
르브와 종로점,이탈리안,서울 종로구 우정국로2길 42 4층 (우)03189,목~일 11:30 ~ 22:00,blog.naver.com/human4255,02-739-8208,WIFI 주차,식사
종로할머니칼국수 종로본점,칼국수,서울 종로구 돈화문로11다길 14-2 (우)03133,월~토 11:00 ~ 20:00,-,02-744-9548,none,식사
종로양꼬치,양꼬치,서울 종로구 삼일대로17길 20-2 (우)03190,월~금 15:00 ~ 04:00,-,02-720-8168,주차,식사
성경만두요리전문점 종로점,한식,서울 종로구 수표로 88 1층 (우)03192,월~토 11:00 ~ 21:30,sgjongro.modoo.at,02-2273-9233,주차,식사
신촌황소곱창 종로점,"곱창,막창",서울 종로구 삼일대로17길 17 (우)03190,매일 14:00 ~ 03:00,-,02-735-6698,주차,식사
한국통닭 종로3호점,치킨,"서울 종로구 수표로 110-1 1,2층 (우)03139",매일 11:00 ~ 24:00,blog.naver.com/musso0905,010-9053-0905,주차,식사
토리고야 종로점,일본식주점,서울 종로구 우정국로2길 36 (우)03189,매일 17:30 ~ 05:00,torigoya.modoo.at,02-725-5777,none,식사
포탈라레스토랑 종로점,인도음식,서울 종로구 청계천로 99 (우)03191,매일 11:00 ~ 23:00,potala.modoo.at,02-318-0094,WIFI 동물출입 주차 휠체어사용 놀이방,식사
어사출또 종로3가2호점,회,서울 종로구 종로 117-1 (우)03139,월~금 16:00 ~ 24:00,-,02-763-5114,none,식사
종로곱창철판닭갈비,"곱창,막창",서울 성북구 동소문로6길 8 (우)02860,월~토 16:00 ~ 00:30,-,-,주차,식사
벅벅 종로혜화점,햄버거,서울 종로구 명륜길 48 1층 (우)03070,월~토 11:00 ~ 22:00,www.instagram.com/burg_burg_,02-765-5059,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
VIP참치 종로구청점,참치회,서울 종로구 삼봉로 71 신라스테이 광화문점 지하 1층 103호 (우)03150,월~금 11:20 ~ 21:50,-,02-6281-3991,주차,식사
종로참치,참치회,서울 종로구 청계천로 97 (우)03191,월~금 11:30 ~ 22:00,-,-,none,식사
맥도날드 종로3점,맥도날드,서울 종로구 종로 115 (우)03139,매일 07:00 ~ 22:00,www.mcdonalds.co.kr,070-7017-0434,주차,식사
쿠차라 종로점,"멕시칸,브라질",서울 종로구 종로 33 그랑서울 지하1층 101호 (우)03159,월~금 11:00 ~ 21:00,-,02-2158-7589,WIFI 주차,식사
종로보쌈,"족발,보쌈",서울 서대문구 충정로 73 (우)03736,매일 11:00 ~ 22:00,-,02-393-7677,주차,식사
종로빈대떡 광화문점,한식,서울 종로구 세종대로23길 21 (우)03183,매일 11:30 ~ 24:00,www.instagram.com/gwanghwamun_exit8,02-737-1857,WIFI 동물출입 주차,식사
버거킹 종로점,버거킹,서울 종로구 종로 94 (우)03191,매일 09:00 ~ 24:00,www.burgerking.co.kr,02-2285-4838,주차 휠체어사용,식사
종로포차,실내포장마차,서울 종로구 삼일대로17길 40 1-2층 (우)03189,-,-,-,none,식사
종로삼계탕,삼계탕,서울 종로구 종로8길 21 남창빌딩 1층 (우)03189,"월,화,수,목,금,일 11:00 ~ 22:00",-,02-734-8761,WIFI 동물출입 주차 휠체어사용 놀이방,식사
종로분식,분식,서울 종로구 종로 30 1층 (우)03188,월~금 10:00 ~ 22:00,-,-,none,식사
본고향맛집 을지로4가점,"육류,고기","서울 중구 창경궁로 67 세진빌딩 1,2층 (우)04545",매일 11:00 ~ 22:00,bongohyang.modoo.at,02-2274-0990,WIFI 동물출입 주차 놀이방 흡연실,식사
종로스시야,일식,서울 종로구 수표로20길 43 (우)03192,월~토 11:30 ~ 22:00,-,02-2268-8775,주차,식사
종로진낙지 종로점,"해물,생선",서울 종로구 수표로 122 (우)03139,매일 11:00 ~ 22:00,-,02-742-0621,none,식사
고기꾼김춘배 종로점,"육류,고기",서울 종로구 삼일대로17길 17 5층 (우)03190,월~금 15:00 ~ 22:30,-,070-7799-1223,WIFI,식사
교대이층집 종로점,"육류,고기",서울 종로구 삼일대로19길 16 덕흥빌딩 2층 (우)03190,월~금 11:30 ~ 22:30,www.sgfco.kr,02-732-8188,none,식사
종로제면소,국수,서울 종로구 돈화문로11다길 10 2층 (우)03133,월~금 11:00 ~ 21:00,-,02-741-2351,주차,식사
종로정육식당,"육류,고기",서울 종로구 종로14길 20 (우)03190,매일 11:00 ~ 02:00,-,-,none,식사
개미집 종로점,"해물,생선",서울 종로구 종로12길 23 동출빌딩 2층 (우)03190,매일 10:30 ~ 22:00,-,02-720-3260,none,식사
종로황소곱창 종로점,"곱창,막창",서울 종로구 우정국로2길 31 1층 (우)03189,월~금 11:00 ~ 02:00,-,02-723-5157,WIFI 주차 흡연실,식사
싱글벙글복어 종로점,복어,서울 종로구 돈화문로11길 30 (우)03133,월~금 11:00 ~ 22:00,www.sgbgbok.com,02-743-0787,none,식사
미도인 종로점,양식,서울 종로구 종로 51 지하2층 (우)03161,매일 11:18 ~ 21:00,-,02-720-5097,none,식사
택이네조개전골 종로점,조개,서울 종로구 삼봉로 95 대성스카이렉스 2층 205호 (우)03150,월~금 11:00 ~ 23:00,-,02-732-7767,WIFI 주차,식사
오징어청춘 종로점,"해물,생선",서울 종로구 삼일대로19길 15 1층 (우)03190,매일 10:00 ~ 06:00,www.5chung.co.kr,02-723-5585,none,식사
종로곱육개장,한식,서울 종로구 수표로 93 2층 (우)03191,월~금 11:00 ~ 21:00,-,02-2275-1847,주차,식사
우성닭갈비 종로점,닭요리,서울 종로구 종로8길 15-1 (우)03189,월~금 11:00 ~ 22:30,-,02-420-0053,WIFI 주차,식사
버거킹 종로구청점,버거킹,서울 종로구 삼봉로 57 1층 (우)03151,매일 09:00 ~ 24:00,www.burgerking.co.kr,02-722-0238,주차 휠체어사용,식사
종로곱창,"곱창,막창",서울 강동구 올림픽로62길 40 1층 (우)05385,"월,수,목,금,토,일 12:00 ~ 00:00",-,02-477-2036,none,식사
원조마산아구찜 종로본점,아구,서울 종로구 삼일대로 430 (우)03133,매일 10:30 ~ 22:30,-,02-765-3621,none,식사
종로스테이크,"스테이크,립",서울 종로구 돈화문로11나길 27-1 1층 (우)03133,매일 11:30 ~ 20:00,-,-,WIFI,식사
전곱 종로직영점,"곱창,막창",서울 종로구 돈화문로11길 38 경한빌딩 1층 (우)03133,매일 15:00 ~ 02:00,-,02-745-3412,none,식사
써브웨이 종로점,써브웨이,서울 종로구 종로 77 통일빌딩 1층 (우)03164,매일 08:00 ~ 22:00,www.subway.co.kr,02-737-0034,none,식사
교촌치킨 종로1호점,교촌치킨,서울 종로구 종로12길 15 코아빌딩 1층 (우)03190,매일 12:00 ~ 24:00,www.kyochon.com,02-737-9292,none,식사
모랑해물솥밥 종로구청점,"해물,생선",서울 종로구 율곡로4길 55 원당빌딩 지하 1층 (우)03144,매일 11:00 ~ 23:00,www.morang.co.kr,02-733-0113,none,식사
영덕회식당 종로점,회,서울 종로구 종로5길 32-12 2층 (우)03158,월~금 11:30 ~ 22:00,-,02-763-2225,none,식사
롤링파스타 종로점,롤링파스타,서울 종로구 삼일대로 392 효원빌딩 1층 (우)03191,월~토 11:00 ~ 21:00,rolling-pasta.com,02-2261-5973,주차,식사
빅파이브 종로점,"호프,요리주점","서울 종로구 수표로 115 2,3층 (우)03140",매일 17:00 ~ 05:00,-,010-9972-0939,none,식사
일산칼국수 종로점,칼국수,서울 종로구 삼일대로15길 6 (우)03190,월~토 09:30 ~ 22:00,-,02-733-3131,none,식사
헤비스테이크 종로구청점,한식,서울 종로구 삼봉로 42 2층 (우)03156,매일 11:00 ~ 21:00,smartstore.naver.com/heavysteak,02-733-3309,주차,식사
포브라더스 종로점,동남아음식,서울 종로구 종로 51 종로타워 지하 2층 210호 (우)03161,매일 11:00 ~ 22:00,blog.naver.com/jongno0823,02-733-4147,none,식사
더테이블 종로점,"호프,요리주점",서울 종로구 우정국로2길 21 지하 1층 (우)03189,월~토 16:00 ~ 24:00,www.instagram.com/thetablebrewing,02-733-8883,none,식사
김삼보 종로점,"육류,고기",서울 종로구 종로 19 1층 (우)03157,매일 00:00 ~ 24:00,-,02-735-8253,주차,식사
오봉집 종로점,오봉집,서울 종로구 종로8길 20 1층 (우)03189,월~금 11:00 ~ 23:00,www.obongzip.com/main/main.html,02-3210-0555,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
경성양꼬치 종로직영점,경성양꼬치,서울 종로구 삼일대로17길 42-6 1층 (우)03189,매일 13:00 ~ 23:00,www.경성양꼬치.kr,02-720-2678,none,식사
초장집 종로점,회,서울 종로구 우정국로2길 37 1층 (우)03189,매일 16:30 ~ 01:30,-,02-733-5597,none,식사
종로장군족발보쌈 신관,"족발,보쌈",서울 종로구 삼일대로28길 6 (우)03133,-,-,02-743-3557,WIFI 동물출입 주차 휠체어사용 놀이방,식사
진대감 종로점,한식,서울 종로구 삼일대로17길 23 1층 (우)03190,월~토 14:00 ~ 22:00,gorillafnd.co.kr,02-737-2472,주차,식사
종로닭한마리,닭요리,서울 중랑구 면목로88길 5-9 1층 (우)02154,월~토 11:00 ~ 22:00,-,02-435-7606,none,식사
진원조닭한마리 종로본점,닭요리,서울 종로구 종로 252-11 (우)03197,-,www.wonjodak.com,02-2272-2722,none,식사
종로곱창,"곱창,막창",서울 관악구 남부순환로145길 29 1층 3호 (우)08767,월~토 16:00 ~ 23:00,-,02-862-0092,none,식사
슈가스컬 종로점,"멕시칸,브라질",서울 종로구 우정국로2길 29 8층 (우)03189,매일 11:00 ~ 22:00,www.instagram.com/sugarskull0_0,0507-1442-8704,WIFI 동물출입 주차 휠체어사용,식사
자이온 종로점,햄버거,"서울 종로구 돈화문로4길 37 5,6층 (우)03193",월~토 11:00 ~ 21:00,www.instagram.com/zion.seoul,0507-1441-3132,WIFI 주차 휠체어사용,식사
북촌맛집쭈꾸미,"해물,생선",서울 종로구 율곡로3길 73-1 2층 (우)03062,매일 11:30 ~ 21:00,-,02-765-5786,none,식사
배스킨라빈스 종로2가점,배스킨라빈스,서울 종로구 종로12길 9 (우)03190,매일 10:00 ~ 23:00,www.baskinrobbins.co.kr,02-733-3130,none,카페
종로계림닭도리탕 왕십리점,닭요리,서울 성동구 무학로2길 35 2층 (우)04708,화~일 11:00 ~ 24:00,jongrokyerim.modoo.at,02-2282-7730,none,식사
청기와타운 종로점,갈비,서울 종로구 삼일대로17길 19 원산빌딩 1층 (우)03190,매일 11:30 ~ 22:00,www.instagram.com/ctown_jongro,02-733-7771,WIFI 동물출입,식사
무쏘 종로관철점,"육류,고기","서울 종로구 삼일대로17길 23 지하1층, 1,2층 (우)03190",-,-,02-725-9222,none,식사
호랑이도삭면 종로점,중식,서울 종로구 청계천로 77-1 1~2층 (우)03190,매일 10:00 ~ 22:00,-,02-736-6888,none,식사
전라도맛집밥상,한식,서울 종로구 수표로 83 1층 (우)03191,월~토 11:00 ~ 23:00,-,02-2273-7772,WIFI 동물출입 주차 휠체어사용 흡연실,식사
모이소 한마리정육식당 종로점,"육류,고기",서울 종로구 종로 110-1 2호 (우)03192,매일 10:30 ~ 05:00,-,02-2269-9252,휠체어사용,식사
뚜레쥬르 종로점,뚜레쥬르,"서울 종로구 종로 62 1,2층 (우)03189",매일 07:30 ~ 22:00,www.tlj.co.kr,02-3210-4885,주차,카페
늘솜김밥 종로본점,분식,서울 종로구 삼일대로17길 50 (우)03189,월~금 08:00 ~ 14:00 (재료소진 시 마감),-,02-734-9088,WIFI 동물출입 주차 휠체어사용 흡연실,식사
종로곱창,"곱창,막창",서울 금천구 시흥대로70길 33 (우)08624,일요일,-,-,none,식사
오발탄 종로점,오발탄,서울 종로구 우정국로 26 센트로폴리스 지하2층 리테일4호 (우)03161,월~금 11:30 ~ 22:00,www.hiobaltan.com,02-6370-5856,none,식사
미각 종로1호점,양꼬치,서울 종로구 삼일대로17길 16 (우)03190,매일 11:00 ~ 24:00,-,-,none,식사
황산샤브샤브 종로점,샤브샤브,서울 종로구 삼봉로 81 두산위브파빌리온 지하1층 104호 (우)03150,매일 10:00 ~ 22:00,huangsan.modoo.at,02-725-0050,none,식사
종로수제비,수제비,서울 종로구 종로 19 르메이에르종로타운 1층 114-2호 (우)03157,매일 10:00 ~ 21:00,-,-,none,식사
화돌농장 종로5가점,"육류,고기",서울 종로구 종로31길 22 2층 (우)03129,일요일,-,02-743-0743,none,식사
중심 종로,중식,서울 종로구 우정국로 26 2층 (우)03161,월~토 11:30 ~ 22:00,www.jungsimbyhaevichi.com,02-722-4320,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
이가네감자탕 종로점,감자탕,서울 종로구 우정국로2길 42 2층 (우)03189,월~토 00:00 ~ 24:00,-,02-722-7892,none,식사
명륜진사갈비 종로관철점,명륜진사갈비,"서울 종로구 종로14길 24 1, 2, 3, 4층 (160석, 단체석) (우)03190",-,www.명륜진사갈비.kr,02-734-8560,none,식사
에머이 종로1호점,에머이,서울 종로구 종로12길 6-20 1층 (우)03189,매일 11:00 ~ 21:00,www.emoikorea.com,02-733-0588,none,식사
콘타이 종로점,태국음식,서울 종로구 우정국로 26 센트로폴리스 지하 2층 (우)03161,매일 10:30 ~ 22:00,-,02-6370-5843,WIFI 주차 휠체어사용 놀이방 흡연실,식사
끄티집 종로점,한식,서울 종로구 삼일대로19길 20 1~4층 (우)03190,"월,화,수,목,일 15:00 ~ 02:00",-,02-725-7772,none,식사
종로계림 닭도리탕원조 가산디지털단지점,닭요리,"서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호 (우)08507",월~금 11:00 ~ 22:00,jongrokelim.com,02-2067-0093,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
종로계림닭도리탕 충무로직영점,닭요리,"서울 중구 충무로2길 43 1,2층 (우)04556",매일 11:00 ~ 22:00,www.jongrokelim.com,02-6467-6962,none,식사
원조종로떡집,"떡,한과",서울 종로구 삼일대로 437 건국빌딩 1층 (우)03148,-,www.jongroricecake.com,02-730-8826,none,카페
종로곱창,"곱창,막창",서울 동작구 동작대로29길 13 (우)07008,일요일,-,02-533-0869,none,식사
JBD종로빈대떡 합정점,"호프,요리주점",서울 마포구 양화로6길 19 (우)04044,월~토 11:30 ~ 24:00,-,02-322-9044,none,식사
종로계림닭도리탕원조 문정점,닭요리,서울 송파구 송파대로 167 (우)05855,매일 11:30 ~ 22:00,-,02-2054-8181,주차,식사
종로정육식당3,"육류,고기",서울 종로구 종로8길 16 1층 (우)03189,월~토 15:00 ~ 00:00,-,02-737-7038,none,식사
종로곱창,"곱창,막창",서울 강동구 구천면로34길 38 (우)05333,월~토 12:00 ~ 01:00,-,02-477-9501,none,식사
종로수제비 을지로점,수제비,서울 중구 남대문로10길 30 (우)04539,매일 10:00 ~ 23:00,-,02-753-5959,주차,식사
종로곱창&닭갈비 면목점,"곱창,막창",서울 중랑구 면목로 414 (우)02161,매일 12:00 ~ 24:00,-,02-434-0275,none,식사
신주쿠카레 종로본점,일식,서울 종로구 삼일대로 390 (우)03191,매일 10:30 ~ 22:00,-,-,주차 놀이방,식사
쟁반집8292 종로점,쟁반집8292,서울 종로구 종로8길 17 1층 (우)03189,월~금 11:00 ~ 23:00,www.쟁반집.com,02-725-8383,WIFI 주차,식사
효자동목고기 종로점,"육류,고기",서울 종로구 종로16길 24 1층 (우)03191,월~토 16:00 ~ 22:00,-,02-737-7989,주차,식사
지금보고싶다 종로관철점,"호프,요리주점",서울 종로구 삼일대로17길 47-1 (우)03189,"월,화,수,목,일 16:00 ~ 06:00",-,-,none,식사
명동찌개마을 종로분점,"찌개,전골",서울 종로구 돈화문로5길 32 지하 내 (우)03139,-,-,02-744-9033,none,식사
샐러디 종로광교점,샐러디,서울 종로구 청계천로 61 관철동빌딩 6층 (우)03189,월~금 08:00 ~ 14:00,www.saladykorea.com,02-6956-7996,WIFI 주차,식사
화동옥 종로북촌점,설렁탕,서울 종로구 창덕궁1길 40 (우)03057,매일 10:00 ~ 22:00,-,02-762-5426,none,식사
종로계림닭도리탕원조 여의도점,닭요리,서울 영등포구 의사당대로 108 아일렉스 상가동 지하1층 F16호 (우)07322,매일 10:00 ~ 23:00,-,02-2070-1113,none,식사
종로웰빙뷔페,한식뷔페,서울 종로구 종로16길 32-4 (우)03191,-,-,070-4206-2926,none,식사
종로육가,한식,서울 종로구 돈화문로11다길 10 2층 (우)03133,월~토 17:00 ~ 22:00,-,02-741-2351,주차,식사
종로곱창,"곱창,막창",서울 종로구 종로36나길 10-1 (우)03197,매일 11:00 ~ 22:00,-,02-2267-6133,주차,식사
종로계림닭도리탕원조 상암점,닭요리,서울 마포구 매봉산로 80 1층 10호 (우)03927,매일 11:00 ~ 22:00,www.instagram.com/kelim_sangam,02-303-9488,none,식사
명랑핫도그 종로3가점,명랑핫도그,서울 종로구 종로 112 1층 (우)03192,매일 10:00 ~ 23:00,myungranghotdog.com,02-2274-7578,WIFI 동물출입 주차 휠체어사용 놀이방 흡연실,식사
종로바지락칼국수,칼국수,서울 종로구 수표로22길 50-2 (우)03139,일요일,-,02-745-3349,none,식사
나주소 나주곰탕 종로3가점,곰탕,서울 종로구 수표로20길 13 (우)03192,매일 00:00 ~ 24:00,-,02-2261-4555,none,식사
해변마을 종로2호점,회,서울 종로구 삼일대로17길 52 1층 (우)03189,화~금 17:30 ~ 05:00,-,02-737-3690,none,식사
에도마에텐동하마다 종로점,일식,서울 종로구 종로12길 23 1층 (우)03190,월~금 11:00 ~ 21:30,-,-,none,식사
종로고집,"호프,요리주점","서울 종로구 돈화문로5가길 37 1,2층 (우)03139",매일 00:00 ~ 24:00,-,-,none,식사
맛찬들왕소금구이 종로점,맛찬들왕소금구이,서울 종로구 삼일대로17길 35 1~4층 (우)03189,월~금 11:00 ~ 23:00,www.matwang.com,02-732-3236,주차,식사
보승회관 종로점,국밥,서울 종로구 삼일대로 382 신영빌딩 1층 (우)03191,-,-,02-2272-0530,none,식사
종로떡집,"떡,한과",서울 강북구 숭인로 57-1 (우)01211,-,m.blog.naver.com/jhee6701,02-988-0607,none,카페
옛날국수맛집,국수,서울 종로구 자하문로 11 (우)03041,매일 11:00 ~ 21:30,-,02-735-8084,none,식사
시흥종로빈대떡,한식,서울 금천구 시흥대로58길 13 1층 (우)08628,월~토 16:00 ~ 03:00,-,02-807-1110,주차,식사
이차돌 종로3가점,이차돌,서울 종로구 수표로 126 1층 (우)03139,매일 11:00 ~ 23:00,2chadol.com,02-742-8885,none,식사
등촌샤브칼국수 종로점,등촌샤브칼국수,서울 종로구 삼일대로15길 3 (우)03190,일요일,www.deungchon.com,02-734-9491,none,식사
위찜 종로본점,한식,서울 종로구 우정국로2길 42 1층 (우)03189,월~목 15:00 ~ 00:00,www.wezzim.co.kr,02-722-6762,none,식사
금별맥주 종로점,금별맥주,서울 종로구 종로12길 18 1층 (우)03189,-,www.goldstarbeer.co.kr,02-3210-1777,none,식사
철로만든돼지 종로본점,"육류,고기",서울 종로구 삼일대로15길 16 1층 (우)03190,월~금 11:30 ~ 23:30,-,02-730-3579,WIFI 주차,식사
